ts,frame_idx,ok,bbox,offx,offy
1764760989.151757,227,1,None,,
1764760989.171754,228,1,None,,
1764760989.191772,229,1,None,,
1764760989.211758,230,1,None,,
1764760989.256629,231,1,None,,
1764760989.271662,232,1,None,,
1764760989.291796,233,1,None,,
1764760989.311768,234,1,None,,
1764760989.331767,235,1,None,,
1764760989.351752,236,1,None,,
1764760989.371773,237,1,None,,
1764760989.391760,238,1,None,,
1764760989.411770,239,1,None,,
1764760989.431750,240,1,None,,
1764760989.474771,241,1,None,,
1764760989.491754,242,1,None,,
1764760989.511783,243,1,None,,
1764760989.531755,244,1,None,,
1764760989.551779,245,1,None,,
1764760989.571761,246,1,None,,
1764760989.591800,247,1,None,,
1764760989.612700,248,1,None,,
1764760989.631684,249,1,None,,
1764760989.651763,250,1,None,,
1764760989.695158,251,1,None,,
1764760989.711759,252,1,None,,
1764760989.731789,253,1,None,,
1764760989.751761,254,1,None,,
1764760989.771758,255,1,None,,
1764760989.791756,256,1,None,,
1764760989.811793,257,1,None,,
1764760989.831777,258,1,None,,
1764760989.851789,259,1,None,,
1764760989.871757,260,1,None,,
1764760989.916401,261,1,None,,
1764760989.931757,262,1,None,,
1764760989.951772,263,1,None,,
1764760989.971756,264,1,None,,
1764760989.991775,265,1,None,,
1764760990.011759,266,1,None,,
1764760990.031773,267,1,None,,
1764760990.052637,268,1,None,,
1764760990.071679,269,1,None,,
1764760990.091763,270,1,None,,
1764760990.139772,271,1,None,,
1764760990.151767,272,1,None,,
1764760990.171799,273,1,None,,
1764760990.191903,274,1,None,,
1764760990.211881,275,1,None,,
1764760990.232444,276,1,None,,
1764760990.251863,277,1,None,,
1764760990.271826,278,1,None,,
1764760990.291862,279,1,None,,
1764760990.311911,280,1,None,,
1764760990.383192,281,1,None,,
1764760990.392079,282,1,None,,
1764760990.412055,283,1,None,,
1764760990.432091,284,1,None,,
1764760990.452086,285,1,None,,
1764760990.472061,286,1,None,,
1764760990.492020,287,1,None,,
1764760990.512091,288,1,None,,
1764760990.532117,289,1,None,,
1764760990.552091,290,1,None,,
1764760990.596402,291,1,None,,
1764760990.623347,292,1,None,,
1764760990.647974,293,1,None,,
1764760990.668519,294,1,None,,
1764760990.686094,295,1,None,,
1764760990.701607,296,1,None,,
1764760990.716245,297,1,None,,
1764760990.730776,298,1,None,,
1764760990.744011,299,1,None,,
1764760990.757244,300,1,None,,
1764760990.823329,301,1,None,,
1764760990.832072,302,1,None,,
1764760990.852066,303,1,None,,
1764760990.872391,304,1,None,,
1764760990.892109,305,1,None,,
1764760990.912131,306,1,None,,
1764760990.932117,307,1,None,,
1764760990.952070,308,1,None,,
1764760990.972129,309,1,None,,
1764760990.992144,310,1,None,,
1764760991.065017,311,1,None,,
1764760991.071923,312,1,None,,
1764760991.092051,313,1,None,,
1764760991.112169,314,1,None,,
1764760991.132168,315,1,None,,
1764760991.152094,316,1,None,,
1764760991.172146,317,1,None,,
1764760991.192152,318,1,None,,
1764760991.212130,319,1,None,,
1764760991.232133,320,1,None,,
1764760991.306436,321,1,None,,
1764760991.312032,322,1,None,,
1764760991.332042,323,1,None,,
1764760991.352066,324,1,None,,
1764760991.372129,325,1,None,,
1764760991.392140,326,1,None,,
1764760991.412138,327,1,None,,
1764760991.432147,328,1,None,,
1764760991.452118,329,1,None,,
1764760991.472151,330,1,None,,
1764760991.545218,331,1,None,,
1764760991.552137,332,1,None,,
1764760991.572128,333,1,None,,
1764760991.592078,334,1,None,,
1764760991.612111,335,1,None,,
1764760991.632169,336,1,None,,
1764760991.652003,337,1,None,,
1764760991.672027,338,1,None,,
1764760991.692144,339,1,None,,
1764760991.711974,340,1,None,,
1764760991.771757,341,1,None,,
1764760991.772521,342,1,None,,
1764760991.798380,343,1,None,,
1764760991.819942,344,1,None,,
1764760991.838245,345,1,None,,
1764760991.854769,346,1,None,,
1764760991.871738,347,1,None,,
1764760991.891798,348,1,None,,
1764760991.911855,349,1,None,,
1764760991.931846,350,1,None,,
1764760992.002999,351,1,None,,
1764760992.012015,352,1,None,,
1764760992.032150,353,1,None,,
1764760992.052126,354,1,None,,
1764760992.072166,355,1,None,,
1764760992.092041,356,1,None,,
1764760992.112073,357,1,None,,
1764760992.132090,358,1,None,,
1764760992.152058,359,1,None,,
1764760992.172125,360,1,None,,
1764760992.250448,361,1,None,,
1764760992.251838,362,1,None,,
1764760992.272061,363,1,None,,
1764760992.292075,364,1,None,,
1764760992.312076,365,1,None,,
1764760992.332071,366,1,None,,
1764760992.352073,367,1,None,,
1764760992.372140,368,1,None,,
1764760992.392066,369,1,None,,
1764760992.412026,370,1,None,,
1764760992.488581,371,1,None,,
1764760992.491997,372,1,None,,
1764760992.512133,373,1,None,,
1764760992.532146,374,1,None,,
1764760992.552074,375,1,None,,
1764760992.572041,376,1,None,,
1764760992.592119,377,1,None,,
1764760992.612121,378,1,None,,
1764760992.632025,379,1,None,,
1764760992.651860,380,1,None,,
1764760992.699270,381,1,None,,
1764760992.711859,382,1,None,,
1764760992.731885,383,1,None,,
1764760992.751935,384,1,None,,
